,Standard Deviation,Return,Portfolio Holdings
22,0.17794276280175966,1.5942929944305275,"CSL, ANZ, MQG, TLS, JHX, RHC, IGO, QAN, TWE, DXS, GPT, MGR, BSL, WOR, SVW, CWY, QUB, MTS, AMP, ANN, FBU, ZIM, PRU, IFL, IRE, SFR, MND, RRL, ABC, MYR"
23,0.17174692503496858,1.4965043382639367,"STO, ALL, SUN, AMC, QAN, SOL, SGP, OZL, IPL, CAR, SVW, ALQ, AGL, AWC, MTS, ANN, BKW, BLD, ZIM, PRU, EVT, TAH, HLS, IRE, CMW, PPT, MND, RRL, PTM, PRN"
24,0.18086847899631828,1.8849193818776913,"NAB, GMG, STO, QBE, NCM, BXB, REA, SHL, CPU, RMD, JHX, SOL, REH, VCX, CAR, ALD, CWY, LLC, HVN, BOQ, CGF, BPT, BLD, SGR, SGM, EVT, CSR, CMW, ERA, MSB"
25,0.16936567520563564,1.7630031387241294,"WBC, MQG, WES, FMG, ASX, IGO, IAG, AMC, FPH, SPK, VCX, IPL, CAR, BEN, AGL, AWC, AMP, FBU, ZIM, PRU, SGM, CQR, SUL, IFL, HLS, SKC, MND, ABC, JHG, MYR"
26,0.15552548431590632,2.008300411755744,"NAB, ANZ, GMG, ALL, SHL, CPU, SUN, RHC, AMC, BSL, AZJ, ALD, ALQ, HVN, BOQ, JBH, QUB, MTS, AMP, CNU, SGR, BWP, SGM, GOZ, ABP, IRE, CMW, MND, KAR, NWS"
27,0.16932247088332844,2.107964399630485,"MQG, WES, TLS, TCL, RIO, GMG, STO, NCM, RMD, COH, ASX, SOL, ORG, WHC, SPK, VCX, SGP, OZL, BSL, WOR, YAL, JBH, PMV, BLD, ZIM, BWP, NUF, SKC, SWM, PRN"
28,0.1715990537210928,1.0145741847461491,"NAB, WBC, WOW, NCM, BXB, SUN, IAG, BSL, LYC, ALD, ORI, NHC, BEN, CGF, PMV, BPT, ANN, ZIM, ABP, CSR, SUL, TAH, IRE, SFR, IVC, PPT, RRL, ABC, PTM, SWM"
29,0.18313611669547603,1.4946182759399553,"TLS, REA, CPU, JHX, SUN, RHC, COH, IGO, IAG, DXS, OZL, MGR, WOR, CAR, CWY, ALQ, BOQ, PMV, ILU, ANN, FLT, BLD, PDN, GOZ, ABP, PPT, RRL, MMS, SWM, SIG"
30,0.1796831891293902,1.270340922871271,"TCL, WOW, STO, QBE, BXB, COH, FPH, ORG, DXS, GPT, MGR, BSL, SEK, WOR, CAR, AZJ, SVW, AWC, BPT, FBU, SGR, SUL, TAH, HLS, IRE, GNC, PTM, SWM, JHG, AGG"
31,0.1842555524478761,1.864703891297491,"ALL, NCM, REA, SHL, JHX, RHC, IGO, APA, SPK, LYC, SVW, CWY, NHC, ALQ, JBH, QUB, AGL, MTS, ANN, FLT, DOW, SGR, ABP, CQR, SFR, MND, RRL, NWH, PTM, SWM"
32,0.16720953479183012,1.8745388257725413,"NAB, ANZ, MQG, FMG, WOW, RIO, CPU, JHX, IAG, QAN, WHC, TWE, SPK, SGP, GPT, SEK, SVW, LLC, ALQ, BOQ, AGL, BKW, SGR, BWP, ABP, CQR, CSR, IRE, ABC, MSB"
